"age","job","marital","education","default_credit","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","term_deposit_subscribed"
"Youth","unemployed","married","tertiary","no",181,"yes","no","cellular",2,"feb",110,1,-1,0,"unknown","no"
"Workforce","technician","married","secondary","no",591,"no","no","telephone",29,"aug",81,2,-1,0,"unknown","no"
"Youth","services","married","secondary","no",0,"no","no","cellular",9,"jul",128,1,-1,0,"unknown","no"
"Youth","technician","single","secondary","no",0,"no","no","cellular",29,"aug",157,2,-1,0,"unknown","no"
"Youth","housemaid","single","unknown","no",4378,"no","no","unknown",9,"jun",376,3,-1,0,"unknown","no"
"Youth","admin.","single","secondary","no",713,"no","no","cellular",5,"feb",124,2,-1,0,"unknown","no"
"Workforce","blue-collar","married","primary","no",676,"yes","no","unknown",30,"may",156,4,-1,0,"unknown","no"
"Youth","technician","single","tertiary","no",0,"no","no","cellular",14,"jan",187,7,-1,0,"unknown","yes"
"Workforce","blue-collar","married","secondary","no",-221,"yes","yes","unknown",3,"jun",170,1,-1,0,"unknown","no"
"Workforce","blue-collar","married","secondary","no",1343,"yes","yes","cellular",25,"jul",211,2,-1,0,"unknown","no"
"Youth","management","married","tertiary","no",2374,"yes","yes","cellular",20,"jul",174,2,215,6,"unknown","no"
"Workforce","management","married","tertiary","no",1396,"no","no","cellular",25,"aug",731,6,-1,0,"unknown","yes"
"Youth","blue-collar","single","secondary","no",328,"yes","no","unknown",9,"may",142,2,-1,0,"unknown","no"
"Workforce","blue-collar","divorced","primary","no",-380,"yes","no","unknown",26,"may",181,1,-1,0,"unknown","no"
"Workforce","services","married","secondary","no",0,"yes","no","cellular",2,"apr",146,1,267,1,"failure","no"
"Youth","technician","single","secondary","no",2729,"yes","no","cellular",18,"nov",835,1,-1,0,"unknown","yes"
"Youth","management","single","tertiary","no",204,"yes","no","unknown",27,"may",247,1,-1,0,"unknown","no"
"Youth","admin.","single","secondary","no",303,"no","no","cellular",24,"sep",173,2,190,10,"unknown","yes"
"Youth","blue-collar","married","secondary","no",328,"yes","no","telephone",30,"jul",216,9,-1,0,"unknown","no"
"Youth","management","single","tertiary","no",138,"yes","no","cellular",18,"may",191,5,-1,0,"unknown","no"
"Youth","student","single","tertiary","no",5741,"no","no","cellular",25,"may",327,1,-1,0,"unknown","no"
"Workforce","blue-collar","married","secondary","no",483,"yes","no","cellular",3,"feb",288,3,-1,0,"unknown","no"
"Youth","management","married","tertiary","no",318,"yes","no","cellular",18,"may",1434,2,356,4,"failure","no"
"Workforce","technician","married","secondary","no",0,"no","no","cellular",26,"aug",65,4,-1,0,"unknown","no"
"Workforce","management","married","secondary","no",174,"yes","no","cellular",8,"may",157,1,-1,0,"unknown","no"
"Workforce","blue-collar","divorced","secondary","no",380,"yes","no","unknown",16,"may",268,6,-1,0,"unknown","no"
"Workforce","management","married","tertiary","no",324,"no","no","cellular",13,"aug",258,4,-1,0,"unknown","no"
"Youth","technician","single","secondary","no",8,"no","no","unknown",13,"may",147,1,-1,0,"unknown","no"
"Youth","blue-collar","single","secondary","no",-231,"yes","no","cellular",13,"may",9,8,-1,0,"unknown","no"
"Workforce","housemaid","married","primary","no",379,"no","no","cellular",17,"jul",402,2,-1,0,"unknown","no"
"Workforce","blue-collar","married","primary","no",502,"yes","no","unknown",14,"may",28,2,-1,0,"unknown","no"
"Workforce","technician","single","secondary","no",664,"no","no","cellular",22,"aug",309,3,-1,0,"unknown","no"
"Workforce","technician","married","tertiary","no",3117,"no","no","cellular",20,"nov",44,2,164,1,"failure","no"
"Youth","technician","divorced","secondary","no",0,"no","no","cellular",25,"aug",124,4,-1,0,"unknown","no"
"Youth","technician","single","secondary","no",1587,"yes","yes","cellular",14,"may",502,2,-1,0,"unknown","no"
"Workforce","blue-collar","married","secondary","no",1374,"yes","no","cellular",17,"apr",267,2,322,1,"failure","no"
"Youth","blue-collar","married","secondary","no",840,"yes","no","cellular",12,"may",275,3,-1,0,"unknown","no"
"Workforce","management","single","tertiary","no",254,"no","no","cellular",19,"oct",120,1,-1,0,"unknown","no"
"Workforce","blue-collar","married","secondary","no",221,"no","yes","cellular",25,"aug",153,4,-1,0,"unknown","no"
"Workforce","blue-collar","married","secondary","no",-73,"yes","no","unknown",28,"may",80,9,-1,0,"unknown","no"
"Workforce","blue-collar","married","primary","no",-197,"yes","no","unknown",20,"may",204,2,-1,0,"unknown","no"
"Workforce","services","married","unknown","no",-416,"no","yes","cellular",29,"jul",147,5,-1,0,"unknown","no"
"Workforce","admin.","divorced","secondary","no",3100,"no","yes","cellular",29,"jul",165,2,-1,0,"unknown","no"
"Workforce","services","divorced","primary","no",242,"yes","no","unknown",19,"may",336,1,-1,0,"unknown","no"
"Workforce","retired","married","primary","no",1064,"yes","no","cellular",6,"may",88,2,-1,0,"unknown","no"
"Youth","management","single","secondary","yes",-174,"yes","no","unknown",15,"may",156,5,-1,0,"unknown","no"
"Youth","self-employed","married","tertiary","no",1340,"no","yes","cellular",19,"nov",169,1,-1,0,"unknown","no"
"Youth","management","married","tertiary","no",3158,"no","yes","cellular",5,"aug",142,1,-1,0,"unknown","no"
"Youth","student","single","secondary","no",1925,"no","no","cellular",16,"nov",84,1,196,1,"failure","no"
"Workforce","admin.","single","secondary","no",115,"no","no","cellular",4,"aug",236,1,92,4,"failure","no"
"Youth","technician","married","secondary","no",22,"no","no","cellular",29,"jan",127,1,-1,0,"unknown","no"
"Youth","admin.","single","secondary","no",114,"no","no","cellular",30,"mar",517,1,-1,0,"unknown","yes"
"Youth","services","single","secondary","no",-475,"yes","no","telephone",12,"may",232,3,-1,0,"unknown","no"
"Youth","management","single","tertiary","no",78,"yes","no","cellular",22,"jul",369,2,-1,0,"unknown","no"
"Youth","services","married","secondary","no",28,"yes","no","cellular",13,"may",88,1,370,1,"failure","no"
"Retired","retired","married","tertiary","no",3140,"yes","yes","cellular",6,"aug",975,4,98,1,"unknown","yes"
"Workforce","technician","single","tertiary","no",487,"no","yes","unknown",4,"jul",30,2,-1,0,"unknown","no"
"Workforce","management","married","tertiary","no",4039,"no","yes","cellular",25,"jul",106,2,-1,0,"unknown","no"
"Workforce","technician","married","secondary","no",-1,"no","yes","cellular",31,"jul",166,1,-1,0,"unknown","no"
"Workforce","management","married","tertiary","no",2978,"no","yes","unknown",20,"jun",65,2,-1,0,"unknown","no"
"Youth","blue-collar","single","secondary","no",39,"yes","no","cellular",15,"may",123,5,-1,0,"unknown","no"
"Workforce","admin.","married","secondary","no",1996,"no","yes","cellular",31,"jul",34,3,-1,0,"unknown","no"
"Workforce","blue-collar","married","secondary","no",-327,"yes","no","cellular",7,"may",423,1,-1,0,"unknown","no"
"Workforce","technician","divorced","tertiary","no",2228,"no","no","cellular",17,"nov",890,1,-1,0,"unknown","yes"
"Workforce","management","married","tertiary","no",-1485,"yes","no","unknown",29,"may",221,2,-1,0,"unknown","no"
"Workforce","management","married","secondary","no",4601,"yes","no","unknown",20,"jun",100,4,-1,0,"unknown","no"
"Workforce","services","single","secondary","no",2886,"no","no","unknown",20,"jun",31,1,-1,0,"unknown","no"
"Workforce","blue-collar","married","secondary","no",3,"yes","no","unknown",14,"may",34,1,-1,0,"unknown","no"
"Youth","blue-collar","married","secondary","no",109,"yes","no","unknown",16,"may",306,1,-1,0,"unknown","no"
"Workforce","technician","married","secondary","no",195,"yes","no","cellular",17,"nov",78,1,-1,0,"unknown","no"
"Youth","management","married","tertiary","no",357,"yes","no","cellular",28,"aug",104,5,-1,0,"unknown","no"
"Workforce","technician","single","tertiary","no",3133,"no","no","cellular",6,"aug",411,3,-1,0,"unknown","no"
"Workforce","technician","married","secondary","no",112,"no","no","telephone",4,"may",104,4,-1,0,"unknown","no"
"Youth","admin.","married","secondary","no",692,"yes","no","cellular",11,"may",290,1,-1,0,"unknown","no"
"Workforce","technician","married","secondary","no",195,"yes","no","cellular",19,"may",472,1,90,6,"success","yes"
"Workforce","technician","married","secondary","no",101,"no","no","cellular",17,"jul",130,1,-1,0,"unknown","no"
"Youth","blue-collar","single","secondary","no",1882,"no","no","cellular",7,"may",529,2,-1,0,"unknown","no"
"Workforce","admin.","married","secondary","no",1093,"no","no","unknown",9,"jun",160,1,-1,0,"unknown","no"
"Workforce","blue-collar","married","secondary","no",1568,"yes","no","cellular",21,"may",226,3,91,8,"success","yes"
"Retired","technician","married","secondary","no",594,"no","no","cellular",10,"jul",190,1,-1,0,"unknown","no"
"Youth","blue-collar","single","secondary","no",682,"no","no","cellular",6,"mar",266,1,-1,0,"unknown","yes"
"Youth","student","single","secondary","no",562,"yes","no","cellular",5,"may",147,1,-1,0,"unknown","no"
"Workforce","technician","divorced","secondary","no",1648,"no","no","cellular",17,"nov",80,1,-1,0,"unknown","no"
"Workforce","blue-collar","married","secondary","no",0,"yes","no","unknown",29,"may",67,2,-1,0,"unknown","no"
"Workforce","retired","married","primary","no",474,"no","no","cellular",13,"aug",139,3,-1,0,"unknown","no"
"Workforce","services","married","secondary","no",52,"yes","no","cellular",5,"mar",498,2,179,7,"success","yes"
"Workforce","admin.","divorced","secondary","no",74,"yes","no","telephone",22,"jul",514,11,-1,0,"unknown","no"
"Workforce","management","married","primary","no",472,"yes","no","unknown",30,"may",85,2,-1,0,"unknown","no"
"Workforce","entrepreneur","married","tertiary","no",3188,"yes","yes","cellular",19,"nov",339,3,-1,0,"unknown","no"
"Workforce","management","divorced","primary","no",641,"yes","no","cellular",5,"feb",79,2,269,3,"unknown","no"
"Youth","blue-collar","single","secondary","no",778,"yes","no","cellular",16,"apr",30,1,-1,0,"unknown","no"
"Workforce","entrepreneur","married","primary","no",21,"yes","no","cellular",25,"jul",65,4,-1,0,"unknown","no"
"Workforce","technician","divorced","secondary","no",12,"no","no","unknown",5,"jun",150,2,-1,0,"unknown","no"
"Workforce","technician","married","secondary","no",2527,"yes","yes","unknown",29,"may",201,3,-1,0,"unknown","no"
"Workforce","entrepreneur","divorced","tertiary","no",541,"no","no","cellular",18,"nov",204,1,-1,0,"unknown","no"
"Youth","services","married","secondary","no",0,"yes","no","cellular",8,"may",274,2,-1,0,"unknown","no"
"Youth","technician","married","secondary","no",327,"yes","no","cellular",13,"apr",537,3,-1,0,"unknown","no"
"Retired","retired","married","primary","no",296,"yes","yes","unknown",3,"jun",323,2,-1,0,"unknown","no"
"Youth","management","single","tertiary","yes",621,"no","no","cellular",28,"aug",205,3,-1,0,"unknown","no"
"Youth","management","divorced","tertiary","no",0,"yes","no","telephone",29,"oct",171,1,-1,0,"unknown","yes"
"Workforce","management","married","tertiary","no",2810,"no","no","unknown",9,"jun",77,1,-1,0,"unknown","no"
"Workforce","blue-collar","married","primary","no",2111,"yes","no","cellular",7,"may",86,2,-1,0,"unknown","no"
"Workforce","services","single","primary","no",-87,"yes","no","cellular",13,"may",531,1,-1,0,"unknown","no"
"Workforce","management","married","tertiary","no",372,"no","no","cellular",21,"nov",553,3,-1,0,"unknown","yes"
"Workforce","technician","married","unknown","no",1617,"yes","no","unknown",7,"may",96,2,-1,0,"unknown","no"
"Youth","technician","married","secondary","no",-160,"yes","no","cellular",14,"jul",126,6,-1,0,"unknown","no"
"Youth","student","single","secondary","no",8366,"no","no","cellular",7,"may",458,2,349,1,"unknown","no"
"Workforce","housemaid","married","secondary","no",304,"no","no","cellular",20,"aug",132,1,-1,0,"unknown","no"
"Workforce","blue-collar","married","primary","no",0,"no","no","cellular",5,"aug",334,2,-1,0,"unknown","no"
"Youth","technician","divorced","secondary","no",7,"yes","yes","cellular",29,"aug",273,2,-1,0,"unknown","no"
"Workforce","retired","married","secondary","no",987,"yes","no","unknown",30,"may",555,1,-1,0,"unknown","no"
"Workforce","technician","divorced","secondary","no",275,"no","no","cellular",13,"aug",409,4,-1,0,"unknown","no"
"Youth","student","married","tertiary","no",659,"yes","no","unknown",9,"may",111,2,-1,0,"unknown","no"
"Youth","management","single","tertiary","no",75,"no","yes","cellular",8,"aug",82,11,-1,0,"unknown","no"
"Workforce","blue-collar","married","secondary","no",24,"no","yes","cellular",27,"aug",168,3,-1,0,"unknown","no"
"Workforce","management","married","tertiary","no",13851,"yes","no","cellular",21,"nov",259,1,-1,0,"unknown","no"
"Retired","housemaid","divorced","secondary","no",2063,"no","no","cellular",21,"aug",54,5,86,3,"failure","no"
"Workforce","management","married","tertiary","no",789,"yes","yes","cellular",11,"aug",93,1,190,2,"unknown","no"
"Workforce","management","married","primary","no",870,"no","no","cellular",14,"may",220,1,179,1,"success","yes"
"Workforce","blue-collar","married","secondary","no",438,"no","no","cellular",8,"aug",262,5,-1,0,"unknown","no"
"Youth","admin.","divorced","secondary","no",1224,"yes","no","cellular",3,"nov",187,1,-1,0,"unknown","yes"
"Youth","admin.","married","secondary","no",-170,"yes","yes","unknown",26,"may",130,1,-1,0,"unknown","no"
"Workforce","retired","married","tertiary","no",44,"yes","no","unknown",8,"may",12,2,-1,0,"unknown","no"
"Workforce","technician","married","secondary","no",356,"no","no","cellular",29,"jul",44,5,-1,0,"unknown","no"
"Youth","unemployed","married","tertiary","no",582,"yes","no","cellular",9,"feb",189,3,-1,0,"unknown","no"
"Youth","blue-collar","single","secondary","no",6982,"yes","no","unknown",21,"may",353,1,-1,0,"unknown","no"
"Workforce","management","married","tertiary","no",3643,"no","no","cellular",21,"nov",162,1,-1,0,"unknown","no"
"Workforce","housemaid","divorced","tertiary","no",2098,"no","no","unknown",20,"jun",81,3,-1,0,"unknown","no"
"Workforce","housemaid","married","secondary","no",-12,"no","yes","cellular",28,"jul",136,5,-1,0,"unknown","no"
"Youth","blue-collar","divorced","primary","no",-5,"no","no","unknown",6,"jun",48,5,-1,0,"unknown","no"
"Youth","blue-collar","married","primary","no",1,"yes","no","cellular",5,"may",49,2,-1,0,"unknown","no"
"Workforce","entrepreneur","married","primary","no",3705,"yes","no","unknown",15,"may",151,2,-1,0,"unknown","no"
"Workforce","management","divorced","tertiary","no",1,"yes","yes","unknown",2,"jun",28,8,-1,0,"unknown","no"
"Workforce","self-employed","married","secondary","no",264,"yes","no","cellular",8,"may",113,1,360,2,"failure","no"
"Workforce","blue-collar","married","secondary","no",78,"yes","no","cellular",13,"may",408,1,-1,0,"unknown","no"
"Youth","management","married","tertiary","no",714,"yes","no","cellular",31,"jul",8,27,-1,0,"unknown","no"
"Workforce","management","divorced","tertiary","no",50,"yes","no","unknown",3,"jun",109,4,-1,0,"unknown","no"
"Workforce","unemployed","divorced","secondary","no",1242,"no","no","unknown",5,"jun",280,1,-1,0,"unknown","no"
"Workforce","management","married","tertiary","no",1954,"no","no","cellular",2,"jun",294,1,-1,0,"unknown","yes"
"Youth","services","married","secondary","no",1670,"no","no","cellular",13,"may",223,1,299,2,"failure","no"
"Youth","blue-collar","married","secondary","no",5854,"no","no","cellular",15,"may",255,2,-1,0,"unknown","no"
"Retired","retired","divorced","primary","no",0,"no","no","telephone",3,"sep",225,1,-1,0,"unknown","no"
"Youth","technician","single","tertiary","no",1805,"no","no","cellular",21,"aug",211,4,-1,0,"unknown","no"
"Workforce","blue-collar","married","secondary","no",-42,"no","no","cellular",6,"aug",585,4,-1,0,"unknown","no"
"Workforce","blue-collar","married","secondary","no",1508,"no","no","cellular",3,"nov",177,2,85,3,"failure","no"
"Workforce","services","divorced","secondary","no",97,"no","no","cellular",30,"jul",244,3,-1,0,"unknown","no"
"Youth","technician","married","secondary","no",3322,"yes","no","cellular",14,"aug",421,2,-1,0,"unknown","no"
"Youth","technician","divorced","unknown","no",975,"yes","no","cellular",30,"jan",263,2,191,1,"unknown","no"
